City,State,Status,State_Abbrv,County,County_w_Abbrv,School_District,Estimated_City_Total_Population,Estimated_City_Population_5-17,Estimated_city_number_of_relevant_children_5_to_17_years_old_in_poverty_who_are_related_to_the_householder,Perct_of_City_School_Children_in_Poverty,SNAP_Recipients_July_18,Perct_SNAP_Recipients_July_18,SNAP_Recipients_July_17,Perct_SNAP_Recipients_July_17,Total_Public_School_Expediture,Prct_of_US_Total_School_Expenditure_,Public_School_Total_Salary_Expenses,Public_School_Teacher_Salary_Expenses,Total_Public_School_Reveune,Federal_Public_School_Revenue,State_Public_School_Revenue,Local_Public_School_Revenue,Public_School_Revenue_Per_Pupil,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,"Poverty_Universe,_All_Ages","Poverty_Universe,_Age_5-17_related","Poverty_Universe,_Age_0-17",Fam_Income_25_to_50K,Fam_Income_50_to_100K,Fam_Income_Over_100k,Fam_Income_Under_25k,Homeowners,Renters,Ave_Family_Income,Own_A_Business,Wage_Based_Salary,Welfare,Public_Housing,WIC_Benefits,Average_Childcare_Expense,Heathcare_ID,Heart_Disease_Age_35_to_64,Heart_Disease_Age_65_Up,Stroke_Age_35_to_64,Stroke_Age_65_Up,No_Health_Insurnace,Binge_Drinkers,High_Blood_Pressure,Cancer,Routine_Doctor_Checkups,COPD,Smokers,Regular_Dental_Cleanings,Diabetes,Leisure_Time_Exercise,Poor_Mental_Health,Obesity,Poor_Physical_Health,Lack_of_Sleep
Birmingham,Alabama,S,AL,Jefferson County,"Jefferson County, AL",Jefferson County Board Of Education,212192,30116,10336,0.343206269,102531,0.483199178,108145,0.509656349,334758,0.000531683,193856,200955,377327,36208,214779,126340,10440,35416,46407,939365,945397,3417,7.212,5367,11.327,109198,33593,75605,3.553,11.55,122072,47195,74877,4.992,12.912,-12874,-1.362,23.101,2440,2527,27329,1220999,185648,257196,0.224358974,0.333333333,0.205128205,0.237179487,0.612121212,0.387878788,69115.66667,0.082051282,0.564102564,0.025641026,0.051282051,0.01025641,635.9794872,6067,54.1,391.7,30,405.2,19.2,13.2,43.8,5.6,76.9,8.8,22.3,52.6,16.7,35.6,15.2,41.7,16.3,41.5
Tucson,Arizona,I,AZ,Pima County,"Pima County, AZ",Tucson Unified School District 1,504979,72229,14289,0.197829127,129892,0.257222578,136905,0.271110284,419774,0.00066671,252825,243608,419774,69318,146448,218281,9640,22914,29292,548240,546510,2750,9.449,2376,8.164,69837,20352,49485,3.724,12.779,66516,19295,47221,3.531,12.171,3321,0.608,24.342,1516,1552,9285,324682,54337,74264,0.235059761,0.370517928,0.139442231,0.25498008,0.590405904,0.409594096,56081.67774,0.089700997,0.644518272,0.006644518,0.023255814,0.029900332,137.7009967,51810,47.7,570.4,13.7,226.5,18,15.6,26.8,5.7,65.8,6.7,18.8,59.6,10,25.5,14.1,29,14.4,34.2
Los Angeles,California,S,CA,Los Angeles County,"Los Angeles County, CA",Los Angeles Unified School District,4641973,688725,142752,0.207269955,1025244,0.220863844,1044726,0.225060766,8232102,0.013074719,4296985,5407436,10200836,1083978,6240975,2875883,16415.52331,75437,93892,1662387,1635253,10079,10.825,8520,9.15,234360,61910,172450,3.786,14.332,179029,53092,125937,3.247,10.948,55331,3.384,21.896,5672,5738,28863,2159702,313495,442246,0.217948718,0.435897436,0.192307692,0.153846154,0.632183908,0.367816092,66871.15385,0.076923077,0.557692308,0,0.048076923,0.028846154,279.4326923,24043,55.8,679.5,14.8,237.2,17.3,16.7,26.7,4.9,65,5.3,14,58.8,10.2,22.2,12.9,26.1,12.8,36.8
Riverside,California,I,CA,Riverside County,"Riverside County, CA",Corona-Norco Unified,276980,46153,5039,0.109180335,242220,0.874503574,265617,0.958975377,607478,0.000964833,367705,255658,693389,37266,438298,217825,13010.6391,95333,117001,2219519,2174234,12204,10.474,11237,9.644,345537,93921,251616,4.32,15.892,256003,88794,167209,4.084,11.774,89534,4.118,23.549,7828,7951,49549,868690,76351,116051,0.165680473,0.25443787,0.272189349,0.307692308,0.33,0.67,59917.14768,0.042194093,0.544303797,0,0.105485232,0.042194093,471.721519,17031,50.8,772.4,13.6,251.5,15.7,14.2,30,5,64.9,5.5,15.5,63.1,11.6,24.3,12.9,31.6,12.8,37.2
Sacramento,California,I,CA,Sacramento County,"Sacramento County, CA",Elk Grove Unified,354952,53153,9122,0.171617783,186968,0.526741644,200158,0.563901598,732511,0.001163418,424378,284231,798448,63036,552503,182909,12614.31032,31048,40141,881730,868441,5038,12.665,4313,10.843,125191,42110,83081,4.849,14.416,99446,37718,61728,4.343,11.451,25745,2.965,22.902,2949,3001,18857,2176532,366687,505077,0.247330961,0.330960854,0.263345196,0.158362989,0.715179969,0.284820031,65538.62861,0.045169385,0.539523212,0.012547051,0.021329987,0.011292346,427.7578419,12095,53.5,623.3,18.1,304.3,16.1,18.7,26.4,4.7,63.6,5.2,15.2,60.8,9.1,23.3,13.1,28.1,12.2,38.7
San Francisco,California,I,CA,San Francisco County,"San Francisco County, CA",San Francisco Unified,881549,78817,7467,0.094738445,44932,0.050969373,48269,0.054754756,821981,0.00130552,466035,291557,1046962,49656,355502,641804,17373.21408,14158,18405,321085,319383,1630,8.853,1645,8.934,42729,13173,29556,4.125,13.379,39284,14013,25271,4.388,12.3,3445,1.079,24.6,1061,1079,5263,998103,153971,212045,0.231671554,0.360703812,0.228739003,0.17888563,0.559139785,0.440860215,73158.40995,0.085308057,0.672985782,0.004739336,0.014218009,0.021327014,306.4123223,24510,27.8,406.9,11,255.6,13.2,16.8,30.3,5.2,64.5,5.9,15.7,60.5,10.4,22.7,13.2,28.1,12.7,37.8
San Jose,California,I,CA,Santa Clara County,"Santa Clara County, CA",San Jose Unified,272092,39762,2321,0.058372315,76095,0.279666436,88180,0.324081561,366919,0.000582763,500000,213778,446585,18595,123307,304683,14082,45728,57476,1113907,1091412,7268,12.798,5896,10.382,166312,54802,111510,5.021,15.238,120574,45530,75044,4.172,11.048,45738,4.191,22.095,4013,4040,21584,1321373,215275,298268,0.175710594,0.351421189,0.333333333,0.139534884,0.623222749,0.376777251,83371.18259,0.089171975,0.675159236,0,0.025477707,0.012738854,874.4522293,39061,24,394.3,10.2,218.3,8.8,21.6,25,5.2,64.5,4,11.7,69.7,8.5,17.8,9.9,17.1,8.9,30.4
Denver,Colorado,S,CO,Denver County,"Denver County, CO",Denver School District 1,727211,96311,14780,0.153461183,80206,0.110292611,77033,0.105929366,1091543,0.001733654,711152,652523,1421594,116759,304032,1000803,15482.06312,173640,217076,4265760,4261012,20930,9.663,19982,9.225,531932,157810,374122,3.704,12.484,523012,183858,339154,4.315,12.274,8920,0.209,24.549,13006,13331,88229,5125439,812156,1133304,0.243164063,0.250976563,0.267578125,0.23828125,0.575865129,0.424134871,67100.05233,0.07994186,0.585755814,0.004360465,0.015261628,0.027616279,414.5392442,51087,33.9,400.5,12.2,270.5,12,15,23.2,4.9,63.8,4,11.6,68,9,21.4,10.2,20.8,9.9,32.9
Hartford,Connecticut,S,CT,Hartford County,"Hartford County, CT",,245298,39102,8428,0.215538847,118698,0.483893061,124757,0.508593629,524913,0.000833698,500000,210881,526587,36028,391404,99155,26917,37050,44477,1053001,1037630,4806,10.852,4423,9.987,141961,39127,102834,3.771,13.681,110837,35707,75130,3.441,10.682,31124,3,21.364,3102,3114,21202,1911659,307787,424596,0.298780488,0.237804878,0.201219512,0.262195122,0.655367232,0.344632768,44633.13983,0.042372881,0.466101695,0.029661017,0.042372881,0.004237288,161.6228814,39035,40.2,493.2,9.6,192.1,14.8,23.9,23.7,5.3,59.5,4.2,17.3,65.3,6.2,15.4,11.4,19.8,10.3,28.4
Jacksonville,Florida,I,FL,Duval County,"Duval County, FL",Duval County,957755,151177,28786,0.190412563,156072,0.16295608,163889,0.171117875,1188927,0.001888325,567095,392230,1256503,158082,633567,464854,9696.511116,19817,25097,490033,488616,1987,7.924,1942,7.745,55875,16323,39552,3.341,11.435,52792,17361,35431,3.553,10.804,3083,0.631,21.609,1321,1357,7361,899937,135415,186344,0.223684211,0.320175439,0.293859649,0.162280702,0.68487395,0.31512605,66713.19217,0.06405694,0.629893238,0.007117438,0.007117438,0.03202847,730.0676157,42101,61.9,622.6,19.2,339.8,18.8,14.6,34.8,4.4,74.2,7,20.6,60.6,14,35.1,15.7,35.7,15.4,40.9
Orlando,Florida,I,FL,Orange County,"Orange County, FL",Orange County,1393452,221934,37634,0.169572936,200227,0.143691351,208420,0.149570993,1997182,0.003172045,1075134,662417,2501267,237625,868919,1394723,12262.1947,25612,34551,620796,617339,2874,8.317,2883,8.343,73762,19404,54358,3.143,11.948,66611,21061,45550,3.412,10.79,7151,1.158,21.58,1748,1783,9926,440160,70296,98825,0.316582915,0.246231156,0.150753769,0.286432161,0.612440191,0.387559809,48524.45769,0.073076923,0.542307692,0.015384615,0.007692308,0.023076923,165.1,37183,45.1,569.8,16,372.9,7.8,24.3,28.2,4.8,78.6,5.1,17.3,74.7,8.9,17.2,11,25.2,9,36.4
Tampa,Florida,I,FL,Hillsborough County,"Hillsborough County, FL",Hillsborough County,1471968,236287,40575,0.171719138,217817,0.147976722,227995,0.154891275,2017832,0.003204842,1168432,757720,2175639,295001,1113963,766675,10022.66068,98079,126473,2440273,2415870,14663,11.715,12035,9.616,353305,111673,241632,4.622,14.624,302894,97764,205130,4.047,12.538,50411,2.087,25.075,7917,8058,48153,739938,119608,171844,0.240816327,0.285714286,0.310204082,0.163265306,0.605263158,0.394736842,72169.9645,0.065088757,0.594674556,0.023668639,0.026627219,0.014792899,422.6035503,9003,58.1,600.4,13.9,194.4,20.3,18.9,33.3,5.9,75.2,7.6,20.4,57.4,11,28.2,13.8,31.3,13.4,38.2
Atlanta,Georgia,S,GA,DeKalb County,"DeKalb County, GA",Atlanta,485600,58227,18258,0.313565872,127633,0.262835667,187981,0.387110791,858391,0.001363348,445495,268349,1069553,74601,211200,783752,20510.34575,93772,118686,2541305,2527286,10565,8.943,9459,8.007,308131,88616,219515,3.506,12.192,281412,82501,198911,3.264,11.135,26719,1.057,22.27,6154,6275,41774,752328,89771,131362,0.233716475,0.344827586,0.222222222,0.199233716,0.605633803,0.394366197,54856.92603,0.04109589,0.550684932,0.008219178,0.024657534,0.043835616,409.4356164,29095,33.4,293,18.1,254.8,23.7,19.1,29.3,4.8,71.6,6.3,17.2,58.8,10.1,29.5,13.4,29.7,12.8,37.6
Chicago,Illinois,S,IL,Cook County,"Cook County, IL",City Of Chicago School District 299,2771710,405540,88447,0.218096859,845345,0.304990421,893006,0.322185943,5281978,0.008389155,2414238,3757165,6511721,728804,2312774,3470143,17424.99599,265747,318833,5577113,5548311,36338,11.488,31310,9.898,827370,263807,563563,4.755,14.912,767212,248966,518246,4.487,13.828,60158,1.084,27.656,21962,22330,138689,10007071,1577008,2188918,0.272058824,0.301470588,0.205882353,0.220588235,0.693877551,0.306122449,59009.25882,0.1,0.588235294,0.005882353,0.023529412,0.011764706,468.5588235,13089,43.9,540.4,16.3,292.1,23.1,17.9,30.6,5.6,73.6,6.9,19.4,55.5,11.9,30.2,13.9,28.5,13.8,35.6
New Orleans,Louisiana,S,LA,Orleans Parish,"Orleans Parish, LA",Jefferson Parish School District,390144,54846,19898,0.362797652,80802,0.207108145,86790,0.222456324,561545,0.00089188,288969,336868,437271,25569,29169,382533,88302,22782,28486,502629,506911,2385,8.384,2309,8.117,62275,18289,43986,3.608,12.285,70120,20157,49963,3.976,13.833,-7845,-1.548,24.57,1469,1481,9727,381337,54754,78087,0.262032086,0.299465241,0.213903743,0.22459893,0.626943005,0.373056995,59482.88426,0.041666667,0.625,0.032407407,0.027777778,0.023148148,306.712963,12057,66.7,354.5,24.1,288.7,17.7,16.3,33.4,4.8,74.8,5.7,17.1,62.1,10.9,25.8,12.2,27.9,11.1,38.4
Boston,Massachusetts,I,MA,Suffolk County,"Suffolk County, MA",Boston City Schools,687699,74147,19777,0.266726907,128967,0.187534081,132874,0.193215346,1273247,0.002022247,781563,844610,1611738,81913,384772,1145053,30604.16983,26318,32521,528193,527109,3165,9.771,2906,8.971,68325,22258,46067,4.223,12.962,66429,22987,43442,4.361,12.603,1896,0.36,25.205,1877,1920,12480,772365,139645,198890,0.194444444,0.290123457,0.327160494,0.188271605,0.614730878,0.385269122,75392.82116,0.057934509,0.629722922,0.027707809,0.01511335,0.01511335,533.7556675,49035,34.8,383.8,10.3,179.9,16.4,21.5,31.5,5,69.4,5.8,17.6,57.5,10.9,26.4,12.2,33,12.4,36
Baltimore,Maryland,S,MD,Baltimore County,"Baltimore County, MD",Baltimore County,593490,83117,25540,0.307277693,90214,0.152005931,91757,0.154605806,1600452,0.002541934,1193619,629614,1536343,154968,939957,441418,19063.45622,48389,61149,1195177,1185291,5372,8.787,5352,8.754,150722,45744,104978,3.859,12.716,131599,40694,90905,3.433,11.103,19123,1.613,22.205,3366,3432,20663,811466,128569,177716,0.235294118,0.25893887,0.249711649,0.256055363,0.447696477,0.552303523,74318.92749,0.106320431,0.662420382,0.024007839,0.026457619,0.047035767,363.5301323,53033,142.9,1509.7,44.7,667.8,16.1,19.5,38,5.2,72.1,6.8,20.6,56.4,13,26.8,13.3,33.8,12.7,40.7
Washington,Maryland,I,MD,Washington County,"Washington County, MD",District Of Columbia Public Schools,151049,24216,3662,0.151222332,21945,0.145283981,22573,0.149441572,1097091,0.001742466,724055,689845,1507836,136050,0,1371786,31280,37831,48821,978800,963675,4714,9.656,4707,9.642,140555,42092,98463,4.368,14.585,109819,38629,71190,4.009,11.396,30736,3.189,22.792,2932,3032,17900,687745,115553,161943,0.239554318,0.292479109,0.158774373,0.309192201,0.609336609,0.390663391,49309.21457,0.047244094,0.531496063,0.005905512,0.047244094,0.013779528,263.4232283,37119,63.9,733.9,13.2,266.7,9.8,22.8,25.1,4.5,74.5,5.1,16.4,66.6,8.4,19.9,13.9,22.9,10.5,35.5
